DateKey,SalesPerson,SalesProductKey,CustomerKey,Sales,Cost Of Goods
1/1/2022,30788369,1035,318,554,86%
1/1/2022,30788369,1009,206,464,91%
1/1/2022,30788253,1008,608,309,88%
1/1/2022,30788253,1020,620,898,93%
1/1/2022,30788253,1065,510,808,90%
1/1/2022,30788369,1003,204,442,85%
1/1/2022,30788164,1008,616,490,92%
1/1/2022,30788164,1042,419,49,92%
1/1/2022,30788362,1032,503,241,93%
1/1/2022,30788164,1066,412,639,90%
1/1/2022,30788369,1055,413,62,89%
1/1/2022,30788253,1060,306,774,86%
1/1/2022,30788369,1066,602,98,91%
1/1/2022,30788362,1031,614,996,95%
1/1/2022,30788164,1001,608,46,93%
1/1/2022,30788336,1040,214,229,92%
1/1/2022,30788362,1044,306,213,91%
1/1/2022,30788164,1038,306,22,89%
1/1/2022,30788369,1024,404,875,88%
1/1/2022,30788164,1004,605,712,86%
1/1/2022,30788216,1017,503,980,85%
1/1/2022,30788369,1056,212,362,88%
1/1/2022,30788369,1005,718,324,93%
1/1/2022,30788336,1050,415,155,95%
1/1/2022,30788164,1065,509,54,91%
1/1/2022,30788369,1049,615,526,90%
1/1/2022,30788164,1022,703,622,87%
1/1/2022,30788164,1026,601,77,87%
1/1/2022,30788164,1059,608,71,95%
1/1/2022,30788164,1010,514,662,87%
1/1/2022,30788362,1023,304,42,89%
1/1/2022,30788362,1039,419,182,91%
1/1/2022,30788336,1052,308,125,87%
1/1/2022,30788336,1012,606,644,90%
1/1/2022,30788253,1056,612,529,94%
1/1/2022,30788336,1066,612,407,86%
1/1/2022,30788362,1002,610,650,91%
1/1/2022,30788164,1005,610,407,86%
1/1/2022,30788164,1070,512,751,90%
1/1/2022,30788369,1055,613,582,90%
1/1/2022,30788253,1045,603,436,95%
1/1/2022,30788336,1044,506,892,94%
1/1/2022,30788369,1056,205,274,91%
1/1/2022,30788253,1039,519,571,91%
1/1/2022,30788216,1029,114,681,90%
1/1/2022,30788216,1062,604,791,89%
1/1/2022,30788336,1041,405,893,94%
1/1/2022,30788164,1001,502,511,88%
1/1/2022,30788164,1057,614,449,86%
1/1/2022,30788164,1041,502,149,85%
1/1/2022,30788216,1022,320,788,92%
1/1/2022,30788362,1011,214,742,89%
1/1/2022,30788253,1033,207,194,87%
1/1/2022,30788369,1066,315,775,85%
1/1/2022,30788369,1033,719,656,89%
1/1/2022,30788369,1024,201,825,85%
1/1/2022,30788216,1063,611,959,88%
1/1/2022,30788369,1068,512,718,89%
1/1/2022,30788362,1059,406,527,85%
1/1/2022,30788253,1062,619,385,94%
1/1/2022,30788369,1040,620,511,85%
1/2/2022,30788164,1020,618,734,89%
1/2/2022,30788164,1051,614,295,92%
1/2/2022,30788336,1068,611,318,90%
1/2/2022,30788253,1007,610,282,86%
1/2/2022,30788369,1036,305,874,87%
1/2/2022,30788164,1023,615,948,91%
1/2/2022,30788216,1033,617,880,91%
1/2/2022,30788216,1017,607,160,94%
1/2/2022,30788164,1025,501,602,93%
1/2/2022,30788164,1023,615,184,93%
1/2/2022,30788216,1033,617,496,95%
1/2/2022,30788216,1017,607,96,93%
1/2/2022,30788164,1025,501,89,89%
1/2/2022,30788369,1036,305,103,91%
1/2/2022,30788164,1023,615,629,93%
1/2/2022,30788216,1033,617,434,87%
1/2/2022,30788216,1017,607,744,93%
1/2/2022,30788369,1036,305,987,90%
1/2/2022,30788164,1023,615,715,86%
1/2/2022,30788216,1033,617,852,93%
1/2/2022,30788336,1048,404,107,88%
1/2/2022,30788369,1025,518,617,90%
1/2/2022,30788164,1068,412,62,93%
1/2/2022,30788362,1009,608,801,93%
1/2/2022,30788336,1043,420,489,88%
1/2/2022,30788362,1048,511,625,94%
1/2/2022,30788164,1019,303,92,87%
1/2/2022,30788362,1004,516,856,88%
1/2/2022,30788369,1009,219,568,92%
1/2/2022,30788336,1014,519,463,88%
1/2/2022,30788369,1023,506,235,95%
1/2/2022,30788164,1055,613,647,95%
1/2/2022,30788362,1061,601,238,92%
1/2/2022,30788336,1065,411,522,88%
1/2/2022,30788253,1007,606,409,85%
1/2/2022,30788253,1030,302,568,85%
1/2/2022,30788369,1021,606,565,93%
1/2/2022,30788164,1039,512,247,87%
1/2/2022,30788164,1031,304,76,92%
1/2/2022,30788362,1064,509,223,85%
1/2/2022,30788336,1031,606,799,86%
1/2/2022,30788164,1035,618,62,91%
1/2/2022,30788164,1046,512,836,85%
1/2/2022,30788164,1019,514,69,92%
1/2/2022,30788164,1059,707,853,88%
1/2/2022,30788362,1031,403,149,87%
1/2/2022,30788253,1059,502,42,95%
1/2/2022,30788253,1007,603,953,90%
1/2/2022,30788253,1022,606,170,94%
1/2/2022,30788369,1008,406,488,93%
1/2/2022,30788253,1044,407,588,91%
1/2/2022,30788253,1026,407,548,95%
1/2/2022,30788253,1054,203,978,87%
1/2/2022,30788164,1031,605,849,94%
1/2/2022,30788336,1052,601,557,89%
1/2/2022,30788253,1023,412,878,94%
1/2/2022,30788253,1007,412,826,87%
1/2/2022,30788336,1064,514,508,85%
1/2/2022,30788164,1029,607,675,91%
1/2/2022,30788164,1070,318,763,94%
1/2/2022,30788336,1012,319,158,94%
1/3/2022,30788362,1036,406,527,92%
1/3/2022,30788216,1030,519,633,86%
1/3/2022,30788253,1036,603,88,88%
1/3/2022,30788369,1010,412,316,90%
1/3/2022,30788164,1016,602,629,91%
1/3/2022,30788253,1023,516,673,92%
1/3/2022,30788253,1044,415,973,94%
1/3/2022,30788362,1056,717,993,91%
1/3/2022,30788164,1015,611,936,85%
1/3/2022,30788253,1017,420,541,88%
1/3/2022,30788164,1032,519,569,90%
1/3/2022,30788369,1067,112,295,89%
1/3/2022,30788253,1066,513,105,93%
1/3/2022,30788164,1045,314,630,89%
1/3/2022,30788336,1067,514,436,87%
1/3/2022,30788253,1015,510,248,92%
1/3/2022,30788216,1028,506,225,93%
1/3/2022,30788369,1031,407,321,89%
1/3/2022,30788216,1002,513,348,87%
1/3/2022,30788253,1036,606,328,86%
1/3/2022,30788164,1045,504,90,92%
1/3/2022,30788164,1061,506,703,95%
1/3/2022,30788216,1063,420,921,90%
1/3/2022,30788336,1043,519,824,92%
1/3/2022,30788164,1022,405,646,87%
1/3/2022,30788164,1045,420,979,88%
1/3/2022,30788216,1029,120,515,85%
1/3/2022,30788253,1019,614,115,86%
1/3/2022,30788362,1029,620,757,88%
1/3/2022,30788164,1069,602,829,94%
1/3/2022,30788253,1021,307,115,95%
1/3/2022,30788336,1040,203,715,89%
1/3/2022,30788164,1009,502,332,85%
1/3/2022,30788336,1018,515,67,87%
1/3/2022,30788362,1063,601,771,92%
1/3/2022,30788164,1059,601,336,86%
1/3/2022,30788216,1031,719,839,95%
1/3/2022,30788164,1059,601,500,89%
1/3/2022,30788216,1031,719,141,90%
1/3/2022,30788164,1009,502,373,93%
1/3/2022,30788336,1018,515,213,85%
1/3/2022,30788362,1063,601,695,86%
1/3/2022,30788164,1059,601,625,90%
1/3/2022,30788164,1009,502,131,92%
1/3/2022,30788336,1018,515,127,90%
1/3/2022,30788362,1063,601,857,92%
1/3/2022,30788362,1031,615,910,92%
1/3/2022,30788253,1018,518,576,95%
1/3/2022,30788369,1036,308,678,88%
1/3/2022,30788164,1067,203,70,87%
1/3/2022,30788369,1059,612,534,94%
1/3/2022,30788369,1006,317,905,90%
1/3/2022,30788362,1043,510,914,91%
1/3/2022,30788164,1052,416,683,87%
1/3/2022,30788362,1067,609,427,94%
1/3/2022,30788336,1008,618,495,90%
1/3/2022,30788253,1065,306,975,95%
1/3/2022,30788253,1043,206,574,93%
1/3/2022,30788369,1004,518,737,86%
1/3/2022,30788216,1023,510,246,89%
1/3/2022,30788362,1054,411,922,90%
1/4/2022,30788216,1019,509,309,88%
1/4/2022,30788369,1004,505,776,93%
1/4/2022,30788369,1047,617,861,92%
1/4/2022,30788369,1053,520,682,92%
1/4/2022,30788253,1029,620,388,86%
1/4/2022,30788336,1065,615,381,89%
1/4/2022,30788164,1062,512,738,88%
1/4/2022,30788369,1046,101,343,92%
1/4/2022,30788216,1045,607,93,85%
1/4/2022,30788216,1048,409,393,91%
1/4/2022,30788336,1053,617,214,90%
1/4/2022,30788336,1035,214,105,91%
1/4/2022,30788362,1003,619,870,94%
1/4/2022,30788253,1036,612,950,87%
1/4/2022,30788216,1031,403,610,93%
1/4/2022,30788164,1037,619,819,93%
1/4/2022,30788369,1027,411,499,87%
1/4/2022,30788336,1006,403,367,95%
1/4/2022,30788164,1040,606,62,89%
1/4/2022,30788336,1032,218,271,89%
1/4/2022,30788369,1030,403,200,90%
1/4/2022,30788369,1033,310,74,88%
1/4/2022,30788362,1067,315,766,89%
1/4/2022,30788362,1022,407,506,90%
1/4/2022,30788369,1066,604,690,91%
1/4/2022,30788253,1058,209,37,86%
1/4/2022,30788336,1059,513,997,86%
1/4/2022,30788164,1007,409,342,85%
1/4/2022,30788369,1007,519,898,91%
1/4/2022,30788369,1014,410,111,91%
1/4/2022,30788369,1007,606,616,92%
1/4/2022,30788253,1029,317,572,95%
1/4/2022,30788369,1068,118,834,95%
1/4/2022,30788216,1042,403,847,95%
1/4/2022,30788253,1036,408,764,94%
1/4/2022,30788253,1031,714,975,91%
1/4/2022,30788336,1031,404,120,94%
1/4/2022,30788253,1007,610,873,85%
1/4/2022,30788253,1030,410,410,94%
1/4/2022,30788369,1005,203,616,88%
1/4/2022,30788369,1064,410,604,88%
1/4/2022,30788164,1019,213,981,86%
1/4/2022,30788253,1061,506,433,95%
1/4/2022,30788164,1034,514,311,85%
1/4/2022,30788164,1008,613,922,94%
1/4/2022,30788369,1070,606,783,90%
1/4/2022,30788164,1038,207,695,87%
1/4/2022,30788253,1060,619,486,89%
1/4/2022,30788336,1068,512,442,85%
1/4/2022,30788369,1053,114,987,85%
1/4/2022,30788164,1034,101,775,89%
1/4/2022,30788369,1053,114,399,92%
1/4/2022,30788164,1034,101,22,93%
1/4/2022,30788369,1053,114,162,91%
1/4/2022,30788164,1034,101,759,93%
1/4/2022,30788164,1018,207,36,89%
1/4/2022,30788336,1042,607,736,88%
1/4/2022,30788362,1003,515,224,86%
1/4/2022,30788164,1068,604,328,89%
1/4/2022,30788253,1029,610,924,93%
1/4/2022,30788164,1018,118,337,85%
1/5/2022,30788369,1008,508,293,90%
1/5/2022,30788336,1056,406,98,95%
1/5/2022,30788216,1037,12,574,91%
1/5/2022,30788253,1034,607,248,87%
1/5/2022,30788336,1059,708,946,95%
1/5/2022,30788369,1003,716,720,93%
1/5/2022,30788164,1054,702,126,91%
1/5/2022,30788362,1055,405,256,91%
1/5/2022,30788164,1012,517,478,92%
1/5/2022,30788216,1049,620,553,92%
1/5/2022,30788369,1037,316,144,92%
1/5/2022,30788253,1062,514,262,86%
1/5/2022,30788164,1056,601,828,94%
1/5/2022,30788164,1053,618,407,88%
1/5/2022,30788369,1036,518,866,87%
1/5/2022,30788164,1042,611,581,85%
1/5/2022,30788336,1008,613,945,90%
1/5/2022,30788253,1050,618,73,89%
1/5/2022,30788164,1028,519,147,92%
1/5/2022,30788362,1051,505,858,91%
1/5/2022,30788369,1018,404,882,93%
1/5/2022,30788362,1014,601,849,90%
1/5/2022,30788253,1013,218,455,87%
1/5/2022,30788253,1026,413,727,86%
1/5/2022,30788369,1065,613,41,87%
1/5/2022,30788369,1004,5,691,86%
1/5/2022,30788253,1012,613,851,89%
1/5/2022,30788369,1068,414,576,92%
1/5/2022,30788164,1066,405,877,95%
1/5/2022,30788369,1016,301,691,88%
1/5/2022,30788216,1056,513,563,94%
1/5/2022,30788369,1031,409,179,94%
1/5/2022,30788369,1015,318,801,86%
1/5/2022,30788362,1068,102,716,95%
1/5/2022,30788369,1044,512,341,94%
1/5/2022,30788362,1028,204,450,91%
1/5/2022,30788216,1063,306,759,93%
1/5/2022,30788216,1063,511,887,93%
1/5/2022,30788369,1064,619,681,88%
1/5/2022,30788253,1060,312,851,93%
1/5/2022,30788216,1027,303,27,90%
1/5/2022,30788164,1054,411,362,92%
1/5/2022,30788164,1010,605,158,86%
1/5/2022,30788362,1002,614,163,91%
1/5/2022,30788164,1013,520,849,87%
1/5/2022,30788336,1016,602,448,92%
1/5/2022,30788253,1044,618,432,86%
1/5/2022,30788362,1012,308,48,93%
1/5/2022,30788253,1028,509,825,88%
1/5/2022,30788216,1015,10,185,94%
1/5/2022,30788253,1062,614,819,86%
1/5/2022,30788336,1046,417,631,91%
1/5/2022,30788164,1064,714,735,87%
1/5/2022,30788164,1007,613,110,93%
1/5/2022,30788164,1020,616,315,92%
1/5/2022,30788369,1010,606,841,92%
1/5/2022,30788164,1011,506,331,93%
1/5/2022,30788369,1047,607,866,91%
1/5/2022,30788164,1008,605,433,89%
1/5/2022,30788336,1061,408,892,85%
1/5/2022,30788253,1069,408,294,90%
1/6/2022,30788369,1035,312,880,93%
1/6/2022,30788336,1038,607,852,93%
1/6/2022,30788164,1017,717,468,94%
1/6/2022,30788369,1060,604,227,89%
1/6/2022,30788336,1023,616,391,93%
1/6/2022,30788369,1027,315,146,85%
1/6/2022,30788369,1064,609,24,95%
1/6/2022,30788253,1029,606,439,91%
1/6/2022,30788336,1005,615,893,92%
1/6/2022,30788253,1015,607,433,95%
1/6/2022,30788216,1061,418,236,90%
1/6/2022,30788253,1031,511,21,89%
1/6/2022,30788369,1038,504,45,95%
1/6/2022,30788164,1017,317,649,90%
1/6/2022,30788164,1066,118,122,89%
1/6/2022,30788164,1012,410,547,87%
1/6/2022,30788336,1019,507,320,86%
1/6/2022,30788369,1025,602,412,88%
1/6/2022,30788336,1068,411,648,89%
1/6/2022,30788369,1041,504,840,91%
1/6/2022,30788369,1054,407,554,94%
1/6/2022,30788216,1018,601,500,92%
1/6/2022,30788216,1058,402,714,95%
1/6/2022,30788164,1066,220,52,92%
1/6/2022,30788164,1053,615,354,86%
1/6/2022,30788164,1004,402,28,91%
1/6/2022,30788253,1069,615,375,88%
1/6/2022,30788362,1054,620,307,92%
1/6/2022,30788253,1029,705,746,87%
1/6/2022,30788336,1033,712,462,95%
1/6/2022,30788216,1014,20,838,88%
1/6/2022,30788253,1069,402,297,88%
1/6/2022,30788253,1024,605,623,87%
1/6/2022,30788369,1015,514,622,89%
1/6/2022,30788216,1014,20,608,87%
1/6/2022,30788253,1069,402,896,87%
1/6/2022,30788253,1024,605,182,88%
1/6/2022,30788369,1015,514,91,87%
1/6/2022,30788253,1029,705,914,94%
1/6/2022,30788336,1033,712,734,86%
1/6/2022,30788216,1014,20,901,89%
1/6/2022,30788253,1069,402,822,85%
1/6/2022,30788253,1024,605,949,92%
1/6/2022,30788369,1015,514,692,87%
1/6/2022,30788253,1029,705,293,88%
1/6/2022,30788336,1033,712,882,91%
1/6/2022,30788216,1014,20,752,94%
1/6/2022,30788253,1069,402,117,90%
1/6/2022,30788253,1024,605,969,95%
1/6/2022,30788216,1069,406,743,86%
1/6/2022,30788253,1030,413,62,87%
1/6/2022,30788216,1063,716,375,86%
1/6/2022,30788253,1017,617,59,87%
1/6/2022,30788362,1027,602,167,87%
1/6/2022,30788253,1033,603,499,94%
1/6/2022,30788164,1054,405,929,93%
1/6/2022,30788253,1010,702,261,86%
1/6/2022,30788164,1009,614,443,85%
1/6/2022,30788369,1002,310,618,95%
1/6/2022,30788369,1041,609,533,85%
1/6/2022,30788164,1056,607,683,86%
1/7/2022,30788164,1051,605,275,87%
1/7/2022,30788362,1049,414,225,89%
1/7/2022,30788253,1050,608,491,85%
1/7/2022,30788216,1036,401,225,85%
1/7/2022,30788164,1035,519,72,91%
1/7/2022,30788362,1046,710,597,95%
1/7/2022,30788253,1017,414,62,93%
1/7/2022,30788362,1062,605,423,87%
1/7/2022,30788336,1007,502,457,93%
1/7/2022,30788216,1002,606,394,87%
1/7/2022,30788216,1032,418,813,92%
1/7/2022,30788164,1041,211,30,88%
1/7/2022,30788362,1050,602,478,92%
1/7/2022,30788253,1069,106,149,93%
1/7/2022,30788164,1053,617,144,88%
1/7/2022,30788253,1021,712,224,91%
1/7/2022,30788362,1042,319,891,94%
1/7/2022,30788362,1054,518,967,86%
1/7/2022,30788216,1061,615,731,85%
1/7/2022,30788164,1055,620,316,90%
1/7/2022,30788369,1047,408,733,92%
1/7/2022,30788369,1069,603,930,95%
1/7/2022,30788164,1009,506,43,89%
1/7/2022,30788369,1055,106,268,89%
1/7/2022,30788369,1059,606,994,94%
1/7/2022,30788362,1007,416,312,87%
1/7/2022,30788164,1070,105,114,86%
1/7/2022,30788369,1014,514,315,95%
1/7/2022,30788336,1049,618,136,90%
1/7/2022,30788164,1045,505,134,85%
1/7/2022,30788164,1042,610,174,95%
1/7/2022,30788369,1037,610,544,88%
1/7/2022,30788253,1040,207,824,90%
1/7/2022,30788369,1059,614,343,92%
1/7/2022,30788164,1065,604,364,87%
1/7/2022,30788362,1007,619,680,95%
1/7/2022,30788253,1052,218,105,93%
1/7/2022,30788336,1048,507,306,93%
1/7/2022,30788369,1046,608,304,85%
1/7/2022,30788164,1024,701,73,89%
1/7/2022,30788369,1068,120,298,93%
1/7/2022,30788369,1007,617,396,91%
1/7/2022,30788164,1024,301,939,92%
1/7/2022,30788253,1003,512,351,85%
1/7/2022,30788369,1016,703,106,92%
1/7/2022,30788336,1047,314,616,95%
1/7/2022,30788216,1004,402,48,88%
1/7/2022,30788253,1016,719,416,87%
1/7/2022,30788369,1015,410,606,89%
1/7/2022,30788362,1041,604,126,95%
1/7/2022,30788253,1006,619,848,94%
1/7/2022,30788369,1014,118,142,95%
1/7/2022,30788253,1013,401,448,95%
1/7/2022,30788369,1001,412,12,87%
1/7/2022,30788164,1064,412,528,95%
1/7/2022,30788216,1003,319,750,90%
1/7/2022,30788362,1008,505,346,94%
1/7/2022,30788369,1035,216,336,91%
1/7/2022,30788253,1001,317,552,85%
1/7/2022,30788253,1033,607,880,87%
1/7/2022,30788369,1032,514,598,94%
1/8/2022,30788362,1008,505,150,87%
1/8/2022,30788369,1035,216,552,89%
1/8/2022,30788253,1001,317,772,92%
1/8/2022,30788253,1033,607,706,91%
1/8/2022,30788369,1032,514,827,94%
1/8/2022,30788362,1008,505,180,92%
1/8/2022,30788369,1035,216,495,85%
1/8/2022,30788253,1001,317,490,90%
1/8/2022,30788362,1008,505,258,94%
1/8/2022,30788216,1024,606,733,94%
1/8/2022,30788216,1042,415,670,85%
1/8/2022,30788253,1055,416,956,94%
1/8/2022,30788164,1042,404,848,92%
1/8/2022,30788216,1023,504,685,92%
1/8/2022,30788164,1057,603,211,89%
1/8/2022,30788164,1038,413,515,86%
1/8/2022,30788362,1045,302,520,91%
1/8/2022,30788164,1050,416,716,87%
1/8/2022,30788253,1068,503,297,90%
1/8/2022,30788369,1042,319,866,93%
1/8/2022,30788164,1020,601,835,90%
1/8/2022,30788216,1035,519,39,88%
1/8/2022,30788253,1041,417,553,92%
1/8/2022,30788369,1047,718,253,91%
1/8/2022,30788164,1055,601,31,86%
1/8/2022,30788362,1050,603,460,88%
1/8/2022,30788369,1055,511,488,93%
1/8/2022,30788362,1063,618,175,93%
1/8/2022,30788164,1019,312,882,93%
1/8/2022,30788164,1027,608,941,88%
1/8/2022,30788216,1047,610,72,95%
1/8/2022,30788369,1068,220,798,90%
1/8/2022,30788253,1045,606,689,88%
1/8/2022,30788164,1056,413,858,95%
1/8/2022,30788253,1013,517,25,89%
1/8/2022,30788336,1025,416,206,94%
1/8/2022,30788253,1048,213,501,89%
1/8/2022,30788336,1067,618,833,87%
1/8/2022,30788336,1062,618,463,86%
1/8/2022,30788369,1034,707,617,92%
1/8/2022,30788362,1067,509,297,94%
1/8/2022,30788369,1060,409,975,91%
1/8/2022,30788369,1012,420,328,87%
1/8/2022,30788164,1043,518,62,88%
1/8/2022,30788164,1067,213,281,90%
1/8/2022,30788253,1057,202,940,90%
1/8/2022,30788362,1032,418,544,88%
1/8/2022,30788362,1030,403,573,89%
1/8/2022,30788253,1014,209,738,94%
1/8/2022,30788164,1019,511,487,86%
1/8/2022,30788216,1050,601,896,89%
1/8/2022,30788369,1028,220,882,92%
1/8/2022,30788164,1039,705,700,94%
1/8/2022,30788369,1017,606,35,94%
1/8/2022,30788164,1063,513,733,91%
1/8/2022,30788362,1007,604,349,94%
1/8/2022,30788164,1031,505,769,92%
1/8/2022,30788164,1016,303,517,87%
1/8/2022,30788253,1028,213,786,90%
1/8/2022,30788369,1016,217,493,87%
1/8/2022,30788362,1013,607,698,95%
1/9/2022,30788164,1002,215,254,88%
1/9/2022,30788164,1070,417,15,90%
1/9/2022,30788216,1039,707,219,89%
1/9/2022,30788336,1065,316,830,86%
1/9/2022,30788369,1050,404,235,91%
1/9/2022,30788253,1036,515,253,94%
1/9/2022,30788369,1040,611,474,93%
1/9/2022,30788164,1056,609,761,89%
1/9/2022,30788164,1025,413,546,86%
1/9/2022,30788369,1043,520,547,91%
1/9/2022,30788253,1025,613,832,91%
1/9/2022,30788362,1034,519,576,94%
